City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
57,Cabo San Lucas,MX,22.8909,-109.9124,90.7,30,0,0.0,clear sky
58,Jamestown,US,42.097,-79.2353,79.05,62,80,3.0,broken clouds
59,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,85,7.0,overcast clouds
60,Collie,AU,-33.3667,116.15,51.8,93,47,4.7,scattered clouds
61,Bambous Virieux,MU,-20.3428,57.7575,73.65,64,40,13.8,scattered clouds
62,Griffith,US,41.5284,-87.4237,93.88,64,0,8.05,clear sky
63,Kodiak,US,57.79,-152.4072,49.51,87,100,0.0,light rain
64,Airai,TL,-8.9266,125.4092,58.62,96,98,3.2,overcast clouds
65,Praya,CV,14.9215,-23.5087,81.14,57,20,19.57,few clouds
66,Castro,BR,-24.7911,-50.0119,60.57,59,36,7.43,scattered clouds
67,Tilichiki,RU,60.4667,166.1,44.6,76,40,4.45,scattered clouds
68,Launceston,AU,-41.45,147.1667,49.15,93,100,5.75,light rain
69,Hobart,AU,-42.8794,147.3294,44.06,88,100,8.05,overcast clouds
70,Batagay,RU,67.6333,134.6333,56.17,66,100,3.0,overcast clouds
71,Torbay,CA,47.6666,-52.7314,50.29,87,100,12.66,overcast clouds
72,Talnakh,RU,69.4865,88.3972,67.93,49,76,6.06,broken clouds
73,Grindavik,IS,63.8424,-22.4338,52.27,66,75,21.85,broken clouds
74,Bredasdorp,ZA,-34.5322,20.0403,52.95,77,92,15.19,light rain
75,Ilulissat,GL,69.2167,-51.1,37.42,65,40,9.22,scattered clouds
76,Baghdad,IQ,33.3406,44.4009,98.51,19,0,6.91,clear sky
77,East London,ZA,-33.0153,27.9116,61.74,82,0,8.05,clear sky
78,Pochutla,MX,15.7432,-96.4661,88.83,60,38,4.94,scattered clouds
79,Saldanha,ZA,-33.0117,17.9442,53.65,75,17,16.15,light rain
80,Necochea,AR,-38.5473,-58.7368,59.85,49,100,12.66,overcast clouds
81,Tasiilaq,GL,65.6145,-37.6368,39.36,84,79,18.77,broken clouds
82,Deputatskiy,RU,69.3,139.9,53.98,60,88,4.03,overcast clouds
83,Severo-Kurilsk,RU,50.6789,156.125,44.85,92,100,7.34,overcast clouds
84,Iqaluit,CA,63.7506,-68.5145,40.73,81,75,6.91,broken clouds
85,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,75.0,94,100,2.3,overcast clouds
86,Hasaki,JP,35.7333,140.8333,63.0,86,100,14.85,light rain
87,Hambantota,LK,6.1241,81.1185,80.62,82,100,12.62,light rain
88,Salalah,OM,17.0151,54.0924,86.09,84,75,10.36,broken clouds
89,Victoria,HK,22.2855,114.1577,79.97,90,100,4.0,overcast clouds
90,Cidreira,BR,-30.1811,-50.2056,64.44,74,0,13.8,clear sky
91,Goderich,CA,43.7501,-81.7165,77.32,41,6,9.22,clear sky
92,Kalmunai,LK,7.4167,81.8167,75.33,86,93,8.19,moderate rain
93,Faanui,PF,-16.4833,-151.75,79.72,71,100,19.75,overcast clouds
94,Sur,OM,22.5667,59.5289,86.68,67,19,15.14,few clouds
95,Araouane,ML,18.9048,-3.5265,109.45,9,82,11.39,broken clouds
96,Katsuura,JP,35.1333,140.3,63.5,89,100,17.16,light rain
97,Yaan,NG,7.3833,8.5667,83.97,67,99,2.17,overcast clouds
98,Hithadhoo,MV,-0.6,73.0833,83.37,67,38,2.1,scattered clouds
99,Arman,RU,59.7,150.1667,44.02,95,100,1.61,light rain
100,Luena,AO,-11.7833,19.9167,64.44,36,22,2.37,few clouds
101,Vila Do Maio,CV,15.1333,-23.2167,81.39,83,88,14.32,overcast clouds
102,Novyy Urengoy,RU,66.0833,76.6333,60.39,79,100,9.37,overcast clouds
103,Neftcala,AZ,39.3742,49.2472,75.49,62,0,7.85,clear sky
104,Zhicheng,CN,30.2956,111.5047,76.39,74,98,3.85,light rain
105,Vanimo,PG,-2.6741,141.3028,76.75,90,48,6.51,scattered clouds
106,Tezu,IN,27.9167,96.1667,72.91,99,100,2.66,overcast clouds
107,Luderitz,NA,-26.6481,15.1594,59.41,72,1,2.44,clear sky
108,New Norfolk,AU,-42.7826,147.0587,43.72,83,100,3.04,overcast clouds
109,Chuy,UY,-33.6971,-53.4616,63.41,65,28,7.96,scattered clouds
110,Nuuk,GL,64.1835,-51.7216,43.41,39,75,23.02,broken clouds
111,Sioux Lookout,CA,50.1001,-91.917,62.67,94,100,13.8,thunderstorm with heavy rain
112,Fortuna,US,40.5982,-124.1573,60.93,72,75,9.22,broken clouds
113,Yulara,AU,-25.2406,130.9889,58.46,49,2,5.19,clear sky
114,Weymouth,US,42.2209,-70.9398,81.55,44,20,9.22,few clouds
115,Naze,JP,28.3667,129.4833,74.32,87,100,13.42,overcast clouds
116,Ferkessedougou,CI,9.6,-5.2,90.75,44,100,4.63,overcast clouds
117,Aklavik,CA,68.2191,-135.0107,50.97,48,36,5.19,scattered clouds
118,Keningau,MY,5.3378,116.1602,70.57,99,100,1.77,overcast clouds
119,Xining,CN,36.6167,101.7667,58.14,35,8,3.58,clear sky
120,Cherskiy,RU,68.75,161.3,55.85,46,7,3.02,clear sky
121,Balezino,RU,57.9796,53.0106,60.55,80,75,4.27,broken clouds
122,Coracao De Jesus,BR,-16.6853,-44.365,78.19,46,51,8.59,broken clouds
123,Dikson,RU,73.5069,80.5464,32.63,87,43,9.17,scattered clouds
124,Hokitika,NZ,-42.7167,170.9667,49.05,78,100,14.67,overcast clouds
125,Manokwari,ID,-0.8667,134.0833,79.39,73,99,3.31,overcast clouds
126,San Quintin,MX,30.4833,-115.95,67.73,67,14,9.46,few clouds
127,Bubaque,GW,11.2833,-15.8333,78.08,85,94,9.75,overcast clouds
128,Caravelas,BR,-17.7125,-39.2481,74.88,68,29,10.67,scattered clouds
129,Vaitape,PF,-16.5167,-151.75,79.68,71,100,19.77,overcast clouds
130,Nanae,JP,41.8833,140.6833,50.38,93,100,7.31,overcast clouds
131,Chokurdakh,RU,70.6333,147.9167,59.94,40,41,9.19,scattered clouds
132,Ghindari,RO,46.5,24.9167,70.43,62,57,5.61,broken clouds
133,Alice Springs,AU,-23.7,133.8833,45.95,71,0,4.61,clear sky
134,Berlevag,NO,70.8578,29.0864,42.8,81,100,11.5,overcast clouds
135,Roma,US,43.2128,-75.4557,77.5,50,0,11.5,clear sky
136,Ilovlya,RU,49.3033,43.9796,72.05,40,9,7.9,clear sky
137,Zarichne,UA,51.8126,26.129,59.59,66,33,11.14,scattered clouds
138,Jining,CN,35.405,116.5814,72.28,54,4,5.77,clear sky
139,Tefe,BR,-3.3542,-64.7114,78.91,83,100,3.44,overcast clouds
140,Arona,ES,28.0996,-16.681,68.99,57,40,14.97,scattered clouds
141,Brufut,GM,13.3814,-16.7518,87.89,62,75,12.66,broken clouds
142,Manaure,CO,11.7751,-72.4445,87.94,56,100,16.42,overcast clouds
143,San Rafael,AR,-34.6177,-68.3301,61.79,19,50,11.74,scattered clouds
144,Carutapera,BR,-1.195,-46.02,82.51,74,84,9.73,broken clouds
145,Acapulco,MX,16.8634,-99.8901,85.82,66,75,11.5,broken clouds
146,Teya,RU,60.3778,92.6267,58.28,95,97,2.8,overcast clouds
147,Half Moon Bay,US,37.4636,-122.4286,78.87,55,0,0.0,clear sky
148,Kirkenaer,NO,60.4564,12.0582,69.31,33,62,4.36,broken clouds
149,Bluff,NZ,-46.6,168.3333,43.81,74,94,36.82,light rain
150,Ribeira Brava,PT,32.65,-17.0667,72.23,63,8,7.81,clear sky
151,Saint-Philippe,RE,-21.3585,55.7679,71.19,70,37,13.15,scattered clouds
152,Bulaevo,KZ,54.9056,70.4439,52.39,84,97,11.18,overcast clouds
153,Eshowe,ZA,-28.8865,31.4699,64.8,39,100,3.36,overcast clouds
154,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,75,20,11.99,few clouds
155,Byron Bay,AU,-28.65,153.6167,56.95,89,6,5.91,clear sky
156,Andenes,NO,69.3143,16.1194,46.38,87,75,14.97,broken clouds
157,College,US,64.8569,-147.8028,57.09,70,40,0.0,smoke
158,Sars,RU,56.5502,57.1366,54.7,85,54,4.27,broken clouds
159,Kutum,SD,14.2,24.6667,88.47,27,100,3.94,overcast clouds
160,Conceicao Do Araguaia,BR,-8.2578,-49.2647,88.61,47,61,8.25,broken clouds
161,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,65,20,5.75,few clouds
162,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,mist
163,Kulhudhuffushi,MV,6.6221,73.07,83.08,76,85,13.94,overcast clouds
164,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,100,20,2.24,fog
165,Ribeira Grande,PT,38.5167,-28.7,68.4,77,20,12.66,few clouds
166,Sao Filipe,CV,14.8961,-24.4956,76.84,65,90,16.31,overcast clouds
167,Boyolangu,ID,-8.1181,111.8935,75.29,94,82,1.23,light rain
168,Nikolskoye,RU,59.7035,30.7861,58.91,92,100,10.25,overcast clouds
169,Kavieng,PG,-2.5744,150.7967,81.23,77,83,11.56,light rain
170,Behshahr,IR,36.6923,53.5526,76.95,73,0,3.4,clear sky
171,Bairiki,KI,1.3292,172.9752,80.6,74,75,6.91,broken clouds
172,Saint Anthony,US,45.0205,-93.218,90.25,60,0,25.32,clear sky
173,Todos Santos,MX,23.45,-110.2167,75.78,61,1,8.39,clear sky
174,Sept-Iles,CA,50.2001,-66.3821,62.06,70,75,10.36,broken clouds
175,Sucre,BO,-19.0333,-65.2627,61.25,14,0,3.94,clear sky
176,Tommot,RU,58.9564,126.2925,49.51,94,69,2.8,light rain
177,Maragua,KE,-0.7833,37.1333,64.51,67,26,1.97,scattered clouds
178,Sainte-Maxime,FR,43.3,6.6333,89.76,71,9,3.96,clear sky
179,Bengkulu,ID,-3.8004,102.2655,75.88,89,78,4.05,light rain
180,Bethel,US,41.3712,-73.414,79.18,52,0,11.5,clear sky
181,Champerico,GT,14.3,-91.9167,82.94,80,100,5.97,overcast clouds
182,Richards Bay,ZA,-28.783,32.0377,73.04,36,100,10.85,overcast clouds
183,Tuatapere,NZ,-46.1333,167.6833,44.15,78,83,19.66,broken clouds
184,Sobolevo,RU,54.4299,31.8996,55.99,80,15,13.44,few clouds
185,La Seyne-Sur-Mer,FR,43.0982,5.8847,79.61,76,5,3.0,clear sky
186,Olafsvik,IS,64.8945,-23.7142,49.3,71,68,17.81,broken clouds
187,Lebu,CL,-37.6167,-73.65,49.95,95,100,10.74,overcast clouds
188,Mvuma,ZW,-19.2792,30.5283,56.35,47,1,4.18,clear sky
189,Nizhniy Bestyakh,RU,61.9594,129.9086,53.08,81,40,2.24,scattered clouds
190,Tigil,RU,57.8,158.6667,38.59,86,48,1.97,scattered clouds
191,Cornwall,CA,45.0181,-74.7281,76.24,53,20,8.05,few clouds
192,Kaitangata,NZ,-46.2817,169.8464,41.22,93,97,18.28,overcast clouds
193,Pafos,CY,34.7667,32.4167,76.78,73,20,4.61,few clouds
194,Vaxjo,SE,56.8777,14.8091,63.63,55,100,6.91,overcast clouds
195,Autun,FR,46.95,4.3,79.81,35,81,4.5,broken clouds
196,Mount Gambier,AU,-37.8333,140.7667,49.69,79,83,12.68,broken clouds
197,Clyde River,CA,70.4692,-68.5914,37.63,81,0,6.91,clear sky
198,Fairbanks,US,64.8378,-147.7164,57.09,70,40,0.0,smoke
199,Zhezkazgan,KZ,47.8043,67.7144,70.38,30,38,13.49,scattered clouds
200,Alta Floresta,BR,-9.8756,-56.0861,93.02,38,0,3.44,clear sky
201,Feltre,IT,46.0235,11.907,83.17,59,55,3.27,broken clouds
202,Karacabey,TR,40.2152,28.4038,79.18,63,5,8.63,clear sky
203,Singkang,MY,2.1006,102.7994,74.84,91,21,2.39,few clouds
204,Ehingen,DE,48.2826,9.7275,75.38,29,40,6.91,scattered clouds
205,Burnie,AU,-41.0667,145.9167,53.92,79,100,13.71,light rain
206,Klaksvik,FO,62.2266,-6.589,52.72,98,97,11.18,overcast clouds
207,Souillac,MU,-20.5167,57.5167,73.78,64,40,13.8,scattered clouds
208,Rudnichnyy,RU,59.617,52.4703,63.23,72,67,5.08,broken clouds
209,Skibbereen,IE,51.55,-9.2667,59.11,67,98,9.6,overcast clouds
210,Faya,SA,18.3851,42.4509,84.72,37,94,4.27,overcast clouds
211,Pemba,MZ,-12.974,40.5178,77.7,83,20,9.22,few clouds
