City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Porangatu,BR,2022-06-13 18:19:52,-13.4408,-49.1486,94.03,27,38,3.36
278,Bambanglipuro,ID,2022-06-13 18:19:52,-7.95,110.2833,76.5,87,99,2.15
279,Tessalit,ML,2022-06-13 18:19:52,20.1986,1.0114,103.53,12,58,4.54
280,Paita,PE,2022-06-13 18:20:53,-5.0892,-81.1144,70.75,68,39,12.46
281,Dikson,RU,2022-06-13 18:20:53,73.5069,80.5464,30.18,87,100,14.74
282,Invermere,CA,2022-06-13 18:20:53,50.5167,-116.0354,50.36,92,100,2.42
283,Arraial Do Cabo,BR,2022-06-13 18:20:54,-22.9661,-42.0278,69.76,68,75,25.32
284,Lensk,RU,2022-06-13 18:20:54,60.7253,114.9278,49.87,80,9,2.19
285,Bethel,US,2022-06-13 18:20:54,41.3712,-73.414,83.46,63,0,10.36
286,South Venice,US,2022-06-13 18:20:54,27.0531,-82.4243,93.27,69,8,7.0
287,Cairns,AU,2022-06-13 18:17:01,-16.9167,145.7667,60.75,82,40,9.22
288,Kargasok,RU,2022-06-13 18:20:55,59.0556,80.8572,59.68,79,99,6.67
289,Porto Santo,PT,2022-06-13 18:20:55,33.072,-16.3415,68.38,73,75,5.75
290,Blacksburg,US,2022-06-13 18:19:22,37.2296,-80.4139,90.72,67,40,0.0
291,Provideniya,RU,2022-06-13 18:20:56,64.3833,-173.3,36.84,82,98,2.53
292,Codrington,AU,2022-06-13 18:20:56,-38.2667,141.9667,43.66,83,91,9.1
293,George,ZA,2022-06-13 18:20:56,-33.963,22.4617,54.95,88,20,5.75
